"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - Pretoria","2525DA00043","Borehole","-25.55063","25.71635","NGDB-Number","2525DA00043"
"Dept Water - Pretoria","2525DA00044","Borehole","-25.55063","25.71636","Boring Branch Number","066041"
"Dept Water - Pretoria","2525DA00044","Borehole","-25.55063","25.71636","NGDB-Number","2525DA00044"
"Dept Water - Pretoria","2525DB00276","Borehole","-25.55063","25.76635","Boring Branch Number","015225"
"Dept Water - Pretoria","2525DB00276","Borehole","-25.55063","25.76635","NGDB-Number","2525DB00276"
"Dept Water - Pretoria","2525DB00277","Borehole","-25.55063","25.76636","Boring Branch Number","024699"
"Dept Water - Pretoria","2525DB00277","Borehole","-25.55063","25.76636","NGDB-Number","2525DB00277"
"Dept Water - Pretoria","2525DB00189","Borehole","-25.55063","25.98301","NGDB-Number","2525DB00189"
"Dept Water - Pretoria","2525DA00041","Borehole","-25.55062","25.71634","Boring Branch Number","024198"
"Dept Water - Pretoria","2525DA00041","Borehole","-25.55062","25.71634","NGDB-Number","2525DA00041"
"Dept Water - Pretoria","2525DA00042","Borehole","-25.55062","25.71635","Boring Branch Number","024325"
"Dept Water - Pretoria","2525DA00042","Borehole","-25.55062","25.71635","NGDB-Number","2525DA00042"
"Dept Water - Pretoria","2525DB00274","Borehole","-25.55062","25.76634","Boring Branch Number","015017"
"Dept Water - Pretoria","2525DB00274","Borehole","-25.55062","25.76634","NGDB-Number","2525DB00274"
"Dept Water - Pretoria","2525DB00275","Borehole","-25.55062","25.76635","Boring Branch Number","015156"
"Dept Water - Pretoria","2525DB00275","Borehole","-25.55062","25.76635","NGDB-Number","2525DB00275"
"Dept Water - Pretoria","2525DB00187","Borehole","-25.55062","25.98300","NGDB-Number","2525DB00187"
"Dept Water - Pretoria","2525DB00188","Borehole","-25.55062","25.98301","NGDB-Number","2525DB00188"
"Dept Water - Pretoria","2525DA00039","Borehole","-25.55061","25.71633","Boring Branch Number","014951"
"Dept Water - Pretoria","2525DA00039","Borehole","-25.55061","25.71633","NGDB-Number","2525DA00039"
"Dept Water - Pretoria","2525DA00040","Borehole","-25.55061","25.71634","Boring Branch Number","024143"
"Dept Water - Pretoria","2525DA00040","Borehole","-25.55061","25.71634","NGDB-Number","2525DA00040"
"Dept Water - Pretoria","2525DB00272","Borehole","-25.55061","25.76633","Boring Branch Number","008193"
"Dept Water - Pretoria","2525DB00272","Borehole","-25.55061","25.76633","NGDB-Number","2525DB00272"
"Dept Water - Pretoria","2525DB00273","Borehole","-25.55061","25.76634","Boring Branch Number","008256"
"Dept Water - Pretoria","2525DB00273","Borehole","-25.55061","25.76634","NGDB-Number","2525DB00273"
"Dept Water - Pretoria","2525DB00185","Borehole","-25.55061","25.98299","NGDB-Number","2525DB00185"
"Dept Water - Pretoria","2525DB00186","Borehole","-25.55061","25.98300","NGDB-Number","2525DB00186"
"Dept Water - Pretoria","2526CA00233","Borehole","-25.55061","26.06634","Boring Branch Number","082177"
"Dept Water - Pretoria","2526CA00233","Borehole","-25.55061","26.06634","NGDB-Number","2526CA00233"
"Dept Water - Pretoria","2525DA00037","Borehole","-25.55060","25.71632","Boring Branch Number","008400"
"Dept Water - Pretoria","2525DA00037","Borehole","-25.55060","25.71632","NGDB-Number","2525DA00037"
"Dept Water - Pretoria","2525DA00038","Borehole","-25.55060","25.71633","Boring Branch Number","014714"
"Dept Water - Pretoria","2525DA00038","Borehole","-25.55060","25.71633","NGDB-Number","2525DA00038"
"Dept Water - Pretoria","2525DB00270","Borehole","-25.55060","25.76632","Boring Branch Number","008070"
"Dept Water - Pretoria","2525DB00270","Borehole","-25.55060","25.76632","NGDB-Number","2525DB00270"
"Dept Water - Pretoria","2525DB00271","Borehole","-25.55060","25.76633","Boring Branch Number","008139"
"Dept Water - Pretoria","2525DB00271","Borehole","-25.55060","25.76633","NGDB-Number","2525DB00271"
"Dept Water - Pretoria","2525DB00183","Borehole","-25.55060","25.98298","NGDB-Number","2525DB00183"
"Dept Water - Pretoria","2525DB00184","Borehole","-25.55060","25.98299","NGDB-Number","2525DB00184"
"Dept Water - Pretoria","2526CA00231","Borehole","-25.55060","26.06634","Boring Branch Number","082175"
"Dept Water - Pretoria","2526CA00231","Borehole","-25.55060","26.06634","NGDB-Number","2526CA00231"
"Dept Water - Pretoria","2526CA00232","Borehole","-25.55060","26.06635","Boring Branch Number","082176"
"Dept Water - Pretoria","2526CA00232","Borehole","-25.55060","26.06635","NGDB-Number","2526CA00232"
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Department of Water Affairs and Forestry Number","BG2"
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Hydrological Station Number","A3N0500"
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","NGDB-Number","2526CA00660"
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","Water Level Measuring Point Number","BG2"
"Dept Water - Pretoria","2525DA00051","Borehole","-25.55059","25.71632","Boring Branch Number","085789"
"Dept Water - Pretoria","2525DA00051","Borehole","-25.55059","25.71632","NGDB-Number","2525DA00051"
"Dept Water - Pretoria","2525DB00268","Borehole","-25.55059","25.76632","Boring Branch Number","131326/0"
"Dept Water - Pretoria","2525DB00268","Borehole","-25.55059","25.76632","NGDB-Number","2525DB00268"
"Dept Water - Pretoria","2525DB00052","Borehole","-25.55059","25.86576","NGDB-Number","2525DB00052"
