"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2526CA00509","Borehole","-25.54458","26.05159","1990-07-05","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00516","Borehole","-25.54430","26.04221","1990-07-05","72.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00574","Borehole","-25.54414","26.03269","1988-02-01","72.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00030","Borehole","-25.54392","25.98576","1980-01-01","46.60","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00517","Borehole","-25.54371","26.04202","1990-07-05","61.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00514","Borehole","-25.54359","26.04387","1990-07-05","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00515","Borehole","-25.54352","26.04439","1990-07-05","22.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00028","Borehole","-25.54336","25.99215","1942-01-01","50.75","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00027","Borehole","-25.54336","25.99826","",,,""
"Dept Water - Pretoria","2526CA00372","Borehole","-25.54282","26.00133","1900-01-01","28.03","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00373","Borehole","-25.54226","26.01994","1956-01-01","16.20","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00573","Borehole","-25.54211","26.02869","1988-01-01","72.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DA00097","Borehole","-25.54192","25.74889","1992-03-18","86.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00394","Borehole","-25.54171","26.01911","1987-01-01","61.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","007099","Borehole","-25.54171","26.05023","1952-07-01","52.12","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00096","Borehole","-25.54170","25.96076","1900-01-01","47.10","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00097","Borehole","-25.54170","25.97437","1986-01-01","105.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00388","Borehole","-25.54143","26.00661","1982-01-01","36.60","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00511","Borehole","-25.54127","26.05111","1900-01-01","20.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00374","Borehole","-25.54115","25.75771","1900-01-01","39.00","Measured during Construction","152 mm (6.0")"
